<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130125,000000,120.3979600,121.1377500,120.0255100,120.8214300,0
20130128,000000,120.7398000,120.7602000,119.5765300,120.1071400,0
20130129,000000,119.8979600,120.6122500,119.8469400,120.4234700,0
20130130,000000,120.2653100,120.3826500,119.5663300,119.9336700,0
20130131,000000,119.7142900,120.0867400,119.1479600,119.7806100,0
20130201,000000,120.3520400,122.0612200,120.3520400,121.8775500,0
20130204,000000,121.5816300,121.5816300,120.1122500,120.3775500,0
20130205,000000,121.0765300,122.7193900,121.0663300,122.3163300,0
20130206,000000,121.6683700,122.6173500,121.4693900,122.5969400,0
20130207,000000,122.6479600,122.8418400,121.1224500,121.9642900,0
20130208,000000,122.1836700,122.3724500,121.8571400,122.2449000,0
20130211,000000,122.1581600,123.3418400,121.9591800,123.0153100,0
20130212,000000,123.2244900,125.0000000,122.7959200,124.7602000,0
20130213,000000,125.0918400,125.1173500,123.2602000,123.7806100,0
20130214,000000,123.3367400,124.3367400,123.1836700,124.1377500,0
20130215,000000,124.4081600,124.4438800,122.9795900,123.4693900,0
20130219,000000,123.7091800,124.7857100,123.7040800,124.3979600,0
20130220,000000,124.3010200,124.4183700,122.2755100,122.4081600,0
20130221,000000,122.0969400,122.1530600,120.7602000,121.2346900,0
20130222,000000,122.0255100,122.4591800,121.4234700,122.4540800,0
20130225,000000,122.7142900,123.1479600,118.9183700,118.9795900,0
20130226,000000,119.4387800,119.9132600,118.0459200,119.3673500,0
20130227,000000,119.4540800,121.7602000,119.2653100,121.4438800,0
20130228,000000,121.2704100,122.3112200,120.7806100,121.1479600,0
20130301,000000,120.5000000,122.2398000,119.5561200,121.6326500,0
20130304,000000,121.3163300,122.8673500,121.2449000,122.8316300,0
20130305,000000,122.9387800,124.4846900,122.9387800,123.4285700,0
20130306,000000,124.1938800,125.2806100,123.9387800,124.9030600,0
20130307,000000,125.1020400,126.7040800,125.0765300,126.5663300,0
20130308,000000,127.3163300,127.5612200,125.9336700,126.9795900,0
20130311,000000,127.0816300,128.6020400,126.7551000,128.2959200,0
20130312,000000,128.0510200,128.2091800,126.8061200,127.2193900,0
20130313,000000,127.2755100,127.5867400,126.8061200,127.4846900,0
20130314,000000,127.7244900,128.5051000,127.7244900,128.4744900,0
20130315,000000,128.7908200,129.5867400,128.0357100,129.4336700,0
20130318,000000,128.3163300,128.7040800,127.1479600,128.1530600,0
20130319,000000,128.8316300,129.2806100,127.0459200,127.8214300,0
20130320,000000,128.6683700,128.7500000,128.1224500,128.1785700,0
20130321,000000,127.7091800,128.2142900,126.4693900,126.5714300,0
20130322,000000,127.0153100,127.3469400,126.3214300,126.8775500,0
20130325,000000,127.4949000,127.8061200,125.7142900,126.2602000,0
20130326,000000,126.3622500,126.9030600,125.7398000,126.4949000,0
20130327,000000,125.8673500,125.8673500,125.0816300,125.5663300,0
20130328,000000,125.6020400,125.8367400,124.8520400,125.3316300,0
20130401,000000,125.2755100,125.8367400,124.5204100,124.8520400,0
20130402,000000,125.2500000,125.4898000,124.7806100,125.0765300,0
20130403,000000,124.9183700,124.9489800,121.9030600,122.4183700,0
20130404,000000,122.4081600,123.8061200,122.4081600,123.7908200,0
20130405,000000,122.3826500,124.0255100,121.7653100,123.8112200,0
20130408,000000,123.8775500,125.0408200,122.9285700,125.0357100,0
20130409,000000,125.2857100,126.3622500,125.0459200,125.7040800,0
20130410,000000,126.0255100,127.5102000,126.0255100,127.2244900,0
20130411,000000,127.1275500,127.7959200,126.3469400,127.0408200,0
20130412,000000,126.5000000,126.6479600,125.0816300,126.0102000,0
20130415,000000,126.0714300,126.8979600,123.6071400,123.6632600,0
20130416,000000,124.6479600,125.7142900,124.0510200,125.5969400,0
20130417,000000,124.5153100,124.5510200,121.5153100,122.6683700,0
20130418,000000,122.7500000,122.7500000,120.7244900,121.5357100,0
20130419,000000,121.7755100,123.0102000,121.5612200,122.8928600,0
20130422,000000,122.9387800,123.3265300,121.8367400,123.0561200,0
20130423,000000,123.2398000,125.4540800,123.2398000,125.3775500,0
20130424,000000,125.6479600,127.0765300,125.6122500,126.8418400,0
20130425,000000,127.3010200,128.4540800,127.2091800,127.5510200,0
20130426,000000,127.4591800,127.6581600,126.6275500,127.3112200,0
20130429,000000,127.5816300,127.7653100,127.1683700,127.4489800,0
20130430,000000,127.4030600,127.7295900,126.5459200,127.4489800,0
20130501,000000,127.1785700,127.1836700,125.1632600,125.4183700,0
20130502,000000,125.4949000,126.1479600,125.0714300,125.9795900,0
20130503,000000,126.8418400,127.5561200,126.1734700,126.5969400,0
20130506,000000,126.8979600,128.6326500,126.8928600,128.4898000,0
20130507,000000,128.9234700,130.5510200,128.4438800,130.0612200,0
20130508,000000,129.6275500,131.6734700,129.5714300,131.2244900,0
20130509,000000,131.1581600,131.2091800,129.6071400,129.8877500,0
20130510,000000,130.0204100,130.4591800,129.6479600,130.2857100,0
20130513,000000,130.0561200,131.1275500,129.6938800,130.8673500,0
20130514,000000,130.9795900,133.1887800,130.9795900,133.0969400,0
20130515,000000,132.9234700,135.4132600,132.8826500,134.9285700,0
20130516,000000,134.6938800,135.7551000,133.9898000,134.2704100,0
20130517,000000,134.6020400,136.4489800,134.6020400,136.3622500,0
20130520,000000,136.2653100,137.6479600,136.1122500,137.0153100,0
20130521,000000,137.1377500,138.3418400,137.0816300,137.7091800,0
20130522,000000,137.8724500,140.2959200,136.3163300,136.7142900,0
20130523,000000,136.5663300,137.1071400,134.3418400,136.0918400,0
20130524,000000,135.5051000,136.6122500,135.0765300,136.6122500,0
20130528,000000,138.0714300,139.1734700,137.5612200,138.3163300,0
20130529,000000,137.7244900,139.3826500,137.1683700,138.8010200,0
20130530,000000,138.8418400,141.5306100,138.6632600,140.9234700,0
20130531,000000,140.9081600,141.2091800,138.5510200,138.5510200,0
